Effective Date,Expiry Date,Last Trade Date,Option Type,Strike,Bid,Ask
11-11-2024,11-18-2024,11-11-2024,Put,5470,0.4,0.55
11-11-2024,11-18-2024,11-11-2024,Put,5475,0.45,0.55
11-11-2024,11-18-2024,11-11-2024,Put,5480,0.45,0.55
11-11-2024,11-18-2024,11-11-2024,Put,5485,0.45,0.55
11-11-2024,11-18-2024,11-11-2024,Put,5490,0.45,0.55
11-11-2024,11-18-2024,11-11-2024,Put,5495,0.45,0.55
11-11-2024,11-18-2024,11-11-2024,Put,5500,0.45,0.6
11-11-2024,11-18-2024,11-11-2024,Put,5510,0.45,0.6
11-11-2024,11-18-2024,11-11-2024,Put,5515,0.5,0.6
11-11-2024,11-18-2024,11-11-2024,Put,5520,0.5,0.6
11-11-2024,11-18-2024,11-11-2024,Put,5525,0.5,0.6
11-11-2024,11-18-2024,11-11-2024,Put,5530,0.5,0.65
11-11-2024,11-18-2024,11-11-2024,Put,5535,0.5,0.65
11-11-2024,11-18-2024,11-11-2024,Put,5540,0.5,0.65
11-11-2024,11-18-2024,11-11-2024,Put,5545,0.55,0.65
11-11-2024,11-18-2024,11-11-2024,Put,5550,0.55,0.65
11-11-2024,11-18-2024,11-11-2024,Put,5555,0.55,0.7
11-11-2024,11-18-2024,11-11-2024,Put,5560,0.55,0.7
11-11-2024,11-18-2024,11-11-2024,Put,5565,0.6,0.7
11-11-2024,11-18-2024,11-11-2024,Put,5570,0.6,0.7
11-11-2024,11-18-2024,11-11-2024,Put,5575,0.6,0.75
11-11-2024,11-18-2024,11-11-2024,Put,5580,0.6,0.75
11-11-2024,11-18-2024,11-11-2024,Put,5585,0.6,0.75
11-11-2024,11-18-2024,11-11-2024,Put,5590,0.65,0.75
11-11-2024,11-18-2024,11-11-2024,Put,5595,0.65,0.8
11-11-2024,11-18-2024,11-11-2024,Put,5600,0.65,0.8
11-11-2024,11-18-2024,11-11-2024,Put,5605,0.7,0.8
11-11-2024,11-18-2024,11-11-2024,Put,5610,0.7,0.8
11-11-2024,11-18-2024,11-11-2024,Put,5615,0.7,0.85
11-11-2024,11-18-2024,11-11-2024,Put,5620,0.7,0.85
11-11-2024,11-18-2024,11-11-2024,Put,5625,0.75,0.85
11-11-2024,11-18-2024,11-11-2024,Put,5630,0.75,0.9
11-11-2024,11-18-2024,11-11-2024,Put,5635,0.75,0.9
11-11-2024,11-18-2024,11-11-2024,Put,5640,0.8,0.9
11-11-2024,11-18-2024,11-11-2024,Put,5645,0.8,0.95
11-11-2024,11-18-2024,11-11-2024,Put,5650,0.85,0.95
11-11-2024,11-18-2024,11-11-2024,Put,5655,0.85,1
11-11-2024,11-18-2024,11-11-2024,Put,5660,0.9,1
11-11-2024,11-18-2024,11-11-2024,Put,5665,0.9,1.05
11-11-2024,11-18-2024,11-11-2024,Put,5670,0.9,1.05
11-11-2024,11-18-2024,11-11-2024,Put,5675,0.95,1.1
11-11-2024,11-18-2024,11-11-2024,Put,5680,0.95,1.1
11-11-2024,11-18-2024,11-11-2024,Put,5685,1,1.15
11-11-2024,11-18-2024,11-11-2024,Put,5690,1.05,1.15
11-11-2024,11-18-2024,11-11-2024,Put,5695,1.05,1.2
11-11-2024,11-18-2024,11-11-2024,Put,5700,1.1,1.2
11-11-2024,11-18-2024,11-11-2024,Put,5705,1.1,1.25
11-11-2024,11-18-2024,11-11-2024,Put,5710,1.15,1.3
11-11-2024,11-18-2024,11-11-2024,Put,5715,1.2,1.35
11-11-2024,11-18-2024,11-11-2024,Put,5720,1.25,1.4
11-11-2024,11-18-2024,11-11-2024,Put,5725,1.3,1.45
11-11-2024,11-18-2024,11-11-2024,Put,5730,1.3,1.45
11-11-2024,11-18-2024,11-11-2024,Put,5735,1.4,1.5
11-11-2024,11-18-2024,11-11-2024,Put,5740,1.45,1.55
11-11-2024,11-18-2024,11-11-2024,Put,5745,1.45,1.65
11-11-2024,11-18-2024,11-11-2024,Put,5750,1.55,1.7
11-11-2024,11-18-2024,11-11-2024,Put,5755,1.6,1.75
11-11-2024,11-18-2024,11-11-2024,Put,5760,1.65,1.85
11-11-2024,11-18-2024,11-11-2024,Put,5765,1.75,1.9
11-11-2024,11-18-2024,11-11-2024,Put,5770,1.85,1.95
11-11-2024,11-18-2024,11-11-2024,Put,5775,1.9,2.05
11-11-2024,11-18-2024,11-11-2024,Put,5780,2,2.15
11-11-2024,11-18-2024,11-11-2024,Put,5785,2.1,2.25
11-11-2024,11-18-2024,11-11-2024,Put,5790,2.2,2.35
11-11-2024,11-18-2024,11-11-2024,Put,5795,2.35,2.45
11-11-2024,11-18-2024,11-11-2024,Put,5800,2.45,2.6
11-11-2024,11-18-2024,11-11-2024,Put,5805,2.55,2.75
11-11-2024,11-18-2024,11-11-2024,Put,5810,2.7,2.9
11-11-2024,11-18-2024,11-11-2024,Put,5815,2.85,3.1
11-11-2024,11-18-2024,11-11-2024,Put,5820,3,3.2
11-11-2024,11-18-2024,11-11-2024,Put,5825,3.2,3.4
11-11-2024,11-18-2024,11-11-2024,Put,5830,3.4,3.6
11-11-2024,11-18-2024,11-11-2024,Put,5835,3.6,3.8
11-11-2024,11-18-2024,11-11-2024,Put,5840,3.8,4.1
11-11-2024,11-18-2024,11-11-2024,Put,5845,4,4.2
11-11-2024,11-18-2024,11-12-2024,Put,5850,4.3,4.5
11-11-2024,11-18-2024,11-11-2024,Put,5855,4.6,4.9
11-11-2024,11-18-2024,11-11-2024,Put,5860,4.9,5.1
11-11-2024,11-18-2024,11-11-2024,Put,5865,5.3,5.5
11-11-2024,11-18-2024,11-11-2024,Put,5870,5.6,5.9
11-11-2024,11-18-2024,11-11-2024,Put,5875,6,6.3
11-11-2024,11-18-2024,11-11-2024,Put,5880,6.3,6.7
11-11-2024,11-18-2024,11-11-2024,Put,5885,6.8,7.2
11-11-2024,11-18-2024,11-11-2024,Put,5890,7.3,7.7
11-11-2024,11-18-2024,11-12-2024,Put,5895,7.8,8.2
11-11-2024,11-18-2024,11-12-2024,Put,5900,8.4,8.8
11-11-2024,11-18-2024,11-11-2024,Put,5905,9,9.4
11-11-2024,11-18-2024,11-12-2024,Put,5910,9.7,10.1
11-11-2024,11-18-2024,11-11-2024,Put,5915,10.4,10.8
11-11-2024,11-18-2024,11-11-2024,Put,5920,11.1,11.6
11-11-2024,11-18-2024,11-11-2024,Put,5925,11.9,12.4
11-11-2024,11-18-2024,11-11-2024,Put,5930,12.8,13.3
11-11-2024,11-18-2024,11-12-2024,Put,5935,13.7,14.2
11-11-2024,11-18-2024,11-11-2024,Put,5940,14.7,15.3
11-11-2024,11-18-2024,11-11-2024,Put,5945,15.8,16.4
11-11-2024,11-18-2024,11-11-2024,Put,5950,17,17.6
11-11-2024,11-18-2024,11-11-2024,Put,5955,18.2,18.8
11-11-2024,11-18-2024,11-12-2024,Put,5960,19.6,20.2
11-11-2024,11-18-2024,11-11-2024,Put,5965,21,21.6
11-11-2024,11-18-2024,11-11-2024,Put,5970,22.6,23.1
11-11-2024,11-18-2024,11-11-2024,Put,5975,24.2,24.7
11-11-2024,11-18-2024,11-12-2024,Put,5980,25.9,26.5
11-11-2024,11-18-2024,11-11-2024,Put,5985,27.7,28.3
11-11-2024,11-18-2024,11-11-2024,Put,5990,29.8,30.4
11-11-2024,11-18-2024,11-11-2024,Put,5995,31.8,32.5
11-11-2024,11-18-2024,11-11-2024,Put,6000,34.1,34.7
11-11-2024,11-18-2024,11-11-2024,Put,6005,36.3,37
11-11-2024,11-18-2024,11-12-2024,Put,6010,38.8,39.6
11-11-2024,11-18-2024,11-11-2024,Put,6015,41.4,42.2
11-11-2024,11-18-2024,11-12-2024,Put,6020,44.1,44.9
11-11-2024,11-18-2024,11-12-2024,Put,6025,46.9,47.7
11-11-2024,11-18-2024,11-11-2024,Put,6030,50,50.7
11-11-2024,11-18-2024,11-11-2024,Put,6040,56.3,57.1
11-11-2024,11-18-2024,11-11-2024,Put,6045,57.1,63.2
11-11-2024,11-18-2024,11-11-2024,Put,6050,60.5,66.7
11-11-2024,11-18-2024,11-11-2024,Put,6075,79.3,85.5
11-11-2024,11-18-2024,10-21-2024,Put,6100,100.5,106.7
11-11-2024,11-18-2024,11-11-2024,Put,6150,142.2,157.1
11-11-2024,11-18-2024,10-25-2024,Put,6200,191.5,206.3
11-11-2024,11-18-2024,11-07-2024,Put,6500,489.1,506.1
11-11-2024,11-18-2024,10-25-2024,Call,3200,2791,2808.3
11-11-2024,11-18-2024,10-31-2024,Call,3800,2191.5,2208.8
11-11-2024,11-18-2024,11-07-2024,Call,4000,1991.7,2008.9
11-11-2024,11-18-2024,11-01-2024,Call,4500,1492.1,1509.4
11-11-2024,11-18-2024,10-11-2024,Call,4800,1192,1209.4
11-11-2024,11-18-2024,10-31-2024,Call,4900,1092.5,1109.8
11-11-2024,11-18-2024,11-01-2024,Call,5000,992.6,1009.9
11-11-2024,11-18-2024,11-07-2024,Call,5350,643.1,660.4
11-11-2024,11-18-2024,11-06-2024,Call,5380,613.2,630.4
11-11-2024,11-18-2024,11-08-2024,Call,5400,593.2,610.4
11-11-2024,11-18-2024,11-06-2024,Call,5425,568.2,585.5
11-11-2024,11-18-2024,10-23-2024,Call,5450,543.3,560.5
11-11-2024,11-18-2024,11-07-2024,Call,5460,533.3,550.6
11-11-2024,11-18-2024,10-23-2024,Call,5475,518.3,535.6
11-11-2024,11-18-2024,11-08-2024,Call,5550,443.5,460.8
11-11-2024,11-18-2024,11-08-2024,Call,5555,438.5,455.8
11-11-2024,11-18-2024,10-31-2024,Call,5575,418.6,435.8
11-11-2024,11-18-2024,10-25-2024,Call,5590,403.6,420.9
11-11-2024,11-18-2024,11-04-2024,Call,5595,398.7,415.9
11-11-2024,11-18-2024,11-08-2024,Call,5600,393.7,410.9
11-11-2024,11-18-2024,11-05-2024,Call,5645,348.9,366.1
11-11-2024,11-18-2024,11-11-2024,Call,5650,343.9,361.1
11-11-2024,11-18-2024,10-31-2024,Call,5655,338.9,356.1
11-11-2024,11-18-2024,11-06-2024,Call,5660,333.9,351.1
11-11-2024,11-18-2024,11-08-2024,Call,5670,324,341.2
11-11-2024,11-18-2024,10-31-2024,Call,5675,319,336.2
11-11-2024,11-18-2024,11-06-2024,Call,5680,314,331.3
11-11-2024,11-18-2024,11-06-2024,Call,5685,309.1,326.3
11-11-2024,11-18-2024,11-07-2024,Call,5690,304.1,321.3
11-11-2024,11-18-2024,11-04-2024,Call,5695,299.1,316.3
11-11-2024,11-18-2024,11-11-2024,Call,5700,294.2,311.4
11-11-2024,11-18-2024,11-04-2024,Call,5705,289.2,306.4
11-11-2024,11-18-2024,11-08-2024,Call,5710,284.3,301.5
11-11-2024,11-18-2024,11-07-2024,Call,5715,279.3,296.5
11-11-2024,11-18-2024,11-11-2024,Call,5720,276.2,287.1
11-11-2024,11-18-2024,11-07-2024,Call,5725,271.1,282.3
11-11-2024,11-18-2024,11-11-2024,Call,5730,266.3,277.2
11-11-2024,11-18-2024,11-06-2024,Call,5735,259.5,276.7
11-11-2024,11-18-2024,11-11-2024,Call,5740,256.3,267.5
11-11-2024,11-18-2024,11-07-2024,Call,5745,249.6,266.8
11-11-2024,11-18-2024,11-11-2024,Call,5750,246.6,257.2
11-11-2024,11-18-2024,11-04-2024,Call,5755,241.6,252.5
11-11-2024,11-18-2024,11-08-2024,Call,5760,236.7,247.7
11-11-2024,11-18-2024,11-07-2024,Call,5765,229.9,247.1
11-11-2024,11-18-2024,11-07-2024,Call,5770,225,242.1
11-11-2024,11-18-2024,11-11-2024,Call,5775,220.1,237.2
11-11-2024,11-18-2024,11-07-2024,Call,5780,216.8,228
11-11-2024,11-18-2024,11-07-2024,Call,5785,210.3,225.5
11-11-2024,11-18-2024,11-11-2024,Call,5790,205.4,220.6
11-11-2024,11-18-2024,11-08-2024,Call,5795,200.5,215.8
11-11-2024,11-18-2024,11-11-2024,Call,5800,197.4,208.4
11-11-2024,11-18-2024,11-06-2024,Call,5805,191.6,206
11-11-2024,11-18-2024,11-08-2024,Call,5810,187.8,198.5
11-11-2024,11-18-2024,11-08-2024,Call,5815,181.9,196.3
11-11-2024,11-18-2024,11-11-2024,Call,5820,177.9,189.2
11-11-2024,11-18-2024,11-08-2024,Call,5825,173.1,184.2
11-11-2024,11-18-2024,11-11-2024,Call,5830,168.5,179.4
11-11-2024,11-18-2024,11-11-2024,Call,5835,162.3,177.1
11-11-2024,11-18-2024,11-11-2024,Call,5840,158.8,169.8
11-11-2024,11-18-2024,11-08-2024,Call,5845,153.1,167.6
11-11-2024,11-18-2024,11-11-2024,Call,5850,149.4,160.2
11-11-2024,11-18-2024,11-11-2024,Call,5855,144.5,155.6
11-11-2024,11-18-2024,11-11-2024,Call,5860,140,150.8
11-11-2024,11-18-2024,11-08-2024,Call,5865,134,148.8
11-11-2024,11-18-2024,11-11-2024,Call,5870,130.7,141.3
11-11-2024,11-18-2024,11-11-2024,Call,5875,131,131.8
11-11-2024,11-18-2024,11-11-2024,Call,5880,126.4,127.2
11-11-2024,11-18-2024,11-11-2024,Call,5885,121.8,122.7
11-11-2024,11-18-2024,11-08-2024,Call,5890,117.3,118.1
11-11-2024,11-18-2024,11-06-2024,Call,5895,112.9,113.7
11-11-2024,11-18-2024,11-12-2024,Call,5900,108.5,109.2
11-11-2024,11-18-2024,11-11-2024,Call,5905,104.1,104.9
11-11-2024,11-18-2024,11-08-2024,Call,5910,99.8,100.6
11-11-2024,11-18-2024,11-11-2024,Call,5915,95.6,96.3
11-11-2024,11-18-2024,11-11-2024,Call,5920,91.2,92
11-11-2024,11-18-2024,11-12-2024,Call,5925,87.2,87.9
11-11-2024,11-18-2024,11-11-2024,Call,5930,82.9,83.7
11-11-2024,11-18-2024,11-11-2024,Call,5935,76.4,82.3
11-11-2024,11-18-2024,11-11-2024,Call,5940,74.9,75.7
11-11-2024,11-18-2024,11-11-2024,Call,5945,71,71.8
11-11-2024,11-18-2024,11-11-2024,Call,5950,67.2,67.9
11-11-2024,11-18-2024,11-11-2024,Call,5955,61,66.8
11-11-2024,11-18-2024,11-11-2024,Call,5960,59.9,60.6
11-11-2024,11-18-2024,11-11-2024,Call,5965,56.3,57.1
11-11-2024,11-18-2024,11-11-2024,Call,5970,52.8,53.6
11-11-2024,11-18-2024,11-11-2024,Call,5975,49.5,50.2
11-11-2024,11-18-2024,11-11-2024,Call,5980,46.3,47
11-11-2024,11-18-2024,11-11-2024,Call,5985,43.2,43.9
11-11-2024,11-18-2024,11-11-2024,Call,5990,40.1,40.8
11-11-2024,11-18-2024,11-11-2024,Call,5995,37.2,37.9
11-11-2024,11-18-2024,11-12-2024,Call,6000,34.6,35.2
11-11-2024,11-18-2024,11-11-2024,Call,6005,31.8,32.5
11-11-2024,11-18-2024,11-11-2024,Call,6010,29.4,30
11-11-2024,11-18-2024,11-11-2024,Call,6015,26.9,27.6
11-11-2024,11-18-2024,11-11-2024,Call,6020,24.6,25.3
11-11-2024,11-18-2024,11-11-2024,Call,6025,22.5,23.1
11-11-2024,11-18-2024,11-11-2024,Call,6030,20.5,21.1
11-11-2024,11-18-2024,11-11-2024,Call,6035,18.7,19.2
11-11-2024,11-18-2024,11-11-2024,Call,6040,16.9,17.5
11-11-2024,11-18-2024,11-11-2024,Call,6045,15.3,15.8
11-11-2024,11-18-2024,11-12-2024,Call,6050,13.7,14.2
11-11-2024,11-18-2024,11-11-2024,Call,6055,12.4,12.8
11-11-2024,11-18-2024,11-11-2024,Call,6060,11.1,11.5
11-11-2024,11-18-2024,11-11-2024,Call,6065,9.8,10.3
11-11-2024,11-18-2024,11-11-2024,Call,6070,8.8,9.2
11-11-2024,11-18-2024,11-11-2024,Call,6075,7.7,8.1
11-11-2024,11-18-2024,11-11-2024,Call,6080,6.9,7.3
11-11-2024,11-18-2024,11-11-2024,Call,6085,6,6.5
11-11-2024,11-18-2024,11-12-2024,Call,6090,5.2,5.6
11-11-2024,11-18-2024,11-11-2024,Call,6100,4,4.3
11-11-2024,11-18-2024,11-11-2024,Call,6110,2.95,3.3
11-11-2024,11-18-2024,11-11-2024,Call,6120,2.2,2.35
11-11-2024,11-18-2024,11-11-2024,Call,6125,1.9,2.05
11-11-2024,11-18-2024,11-11-2024,Call,6130,1.6,1.75
11-11-2024,11-18-2024,11-11-2024,Call,6140,1.15,1.3
11-11-2024,11-18-2024,11-11-2024,Call,6150,0.8,0.95
11-11-2024,11-18-2024,11-12-2024,Call,6175,0.35,0.5
11-11-2024,11-18-2024,11-11-2024,Call,6200,0.2,0.3
11-11-2024,11-18-2024,11-11-2024,Call,6225,0.1,0.25
11-11-2024,11-18-2024,11-11-2024,Call,6250,0.05,0.2
11-11-2024,11-18-2024,11-11-2024,Call,6300,0.1,0.15
11-11-2024,11-18-2024,11-12-2024,Call,6350,0,0.1
11-11-2024,11-18-2024,11-11-2024,Call,6400,0,0.1
11-11-2024,11-18-2024,11-11-2024,Call,6500,0,0.1
11-11-2024,11-18-2024,11-11-2024,Call,6600,0,0.1
11-11-2024,11-18-2024,11-08-2024,Call,7000,0,0.1
11-11-2024,11-18-2024,11-06-2024,Call,7200,0,0.1
11-11-2024,11-18-2024,11-06-2024,Call,7400,0,0.1
11-11-2024,11-19-2024,10-29-2024,Put,2400,0,0.05
11-11-2024,11-19-2024,10-31-2024,Put,2600,0,0.05
11-11-2024,11-19-2024,10-30-2024,Put,2800,0,0.05
11-11-2024,11-19-2024,11-05-2024,Put,3000,0,0.05
11-11-2024,11-19-2024,11-04-2024,Put,3200,0,0.1
11-11-2024,11-19-2024,11-06-2024,Put,3400,0,0.1
11-11-2024,11-19-2024,11-06-2024,Put,3600,0,0.1
11-11-2024,11-19-2024,11-11-2024,Put,3800,0,0.1
11-11-2024,11-19-2024,11-11-2024,Put,4000,0,0.1
11-11-2024,11-19-2024,11-11-2024,Put,4200,0,0.1
11-11-2024,11-19-2024,11-11-2024,Put,4300,0,0.1
11-11-2024,11-19-2024,11-11-2024,Put,4400,0,0.15
11-11-2024,11-19-2024,11-08-2024,Put,4500,0.05,0.15
11-11-2024,11-19-2024,11-11-2024,Put,4600,0.05,0.15
11-11-2024,11-19-2024,11-11-2024,Put,4700,0.05,0.2
11-11-2024,11-19-2024,11-11-2024,Put,4750,0.05,0.2
11-11-2024,11-19-2024,11-11-2024,Put,4800,0.1,0.2
11-11-2024,11-19-2024,11-08-2024,Put,4850,0.1,0.2
11-11-2024,11-19-2024,11-06-2024,Put,4900,0.1,0.25
11-11-2024,11-19-2024,11-11-2024,Put,4950,0.15,0.25
11-11-2024,11-19-2024,11-11-2024,Put,5000,0.15,0.3
11-11-2024,11-19-2024,11-08-2024,Put,5050,0.15,0.3
11-11-2024,11-19-2024,11-11-2024,Put,5100,0.2,0.35
11-11-2024,11-19-2024,11-06-2024,Put,5150,0.25,0.35
11-11-2024,11-19-2024,11-04-2024,Put,5175,0.25,0.4
11-11-2024,11-19-2024,11-11-2024,Put,5200,0.3,0.4
11-11-2024,11-19-2024,11-05-2024,Put,5225,0.3,0.45
11-11-2024,11-19-2024,11-11-2024,Put,5250,0.3,0.45
11-11-2024,11-19-2024,11-08-2024,Put,5275,0.35,0.45
11-11-2024,11-19-2024,11-07-2024,Put,5300,0.35,0.5
11-11-2024,11-19-2024,11-08-2024,Put,5325,0.4,0.5
11-11-2024,11-19-2024,11-11-2024,Put,5350,0.45,0.55
11-11-2024,11-19-2024,11-11-2024,Put,5375,0.45,0.6
11-11-2024,11-19-2024,11-11-2024,Put,5400,0.5,0.65
11-11-2024,11-19-2024,11-07-2024,Put,5425,0.55,0.7
11-11-2024,11-19-2024,11-06-2024,Put,5430,0.55,0.7
11-11-2024,11-19-2024,11-11-2024,Put,5450,0.6,0.75
11-11-2024,11-19-2024,11-08-2024,Put,5460,0.6,0.75
11-11-2024,11-19-2024,11-11-2024,Put,5470,0.65,0.75
11-11-2024,11-19-2024,11-11-2024,Put,5475,0.65,0.8
11-11-2024,11-19-2024,11-11-2024,Put,5500,0.7,0.85
11-11-2024,11-19-2024,11-08-2024,Put,5510,0.7,0.85
11-11-2024,11-19-2024,11-11-2024,Put,5520,0.75,0.9
11-11-2024,11-19-2024,11-08-2024,Put,5525,0.75,0.9
11-11-2024,11-19-2024,11-06-2024,Put,5530,0.75,0.95
11-11-2024,11-19-2024,11-06-2024,Put,5535,0.8,0.95
11-11-2024,11-19-2024,11-07-2024,Put,5540,0.8,0.95
11-11-2024,11-19-2024,11-06-2024,Put,5545,0.8,1
11-11-2024,11-19-2024,11-11-2024,Put,5550,0.85,1
11-11-2024,11-19-2024,11-06-2024,Put,5555,0.85,1
11-11-2024,11-19-2024,11-11-2024,Put,5560,0.9,1
11-11-2024,11-19-2024,11-11-2024,Put,5565,0.9,1.05
11-11-2024,11-19-2024,11-08-2024,Put,5570,0.9,1.05
11-11-2024,11-19-2024,11-08-2024,Put,5575,0.95,1.1
11-11-2024,11-19-2024,11-08-2024,Put,5580,0.95,1.1
11-11-2024,11-19-2024,11-08-2024,Put,5585,0.95,1.1
11-11-2024,11-19-2024,11-08-2024,Put,5590,1,1.15
11-11-2024,11-19-2024,11-05-2024,Put,5595,1,1.15
11-11-2024,11-19-2024,11-11-2024,Put,5600,1.05,1.2
11-11-2024,11-19-2024,11-05-2024,Put,5605,1.05,1.2
11-11-2024,11-19-2024,11-05-2024,Put,5610,1.05,1.2
11-11-2024,11-19-2024,11-04-2024,Put,5615,1.1,1.25
11-11-2024,11-19-2024,11-05-2024,Put,5620,1.1,1.3
11-11-2024,11-19-2024,11-11-2024,Put,5625,1.15,1.3
11-11-2024,11-19-2024,11-07-2024,Put,5630,1.15,1.35
11-11-2024,11-19-2024,11-11-2024,Put,5635,1.2,1.35
11-11-2024,11-19-2024,11-06-2024,Put,5640,1.2,1.4
11-11-2024,11-19-2024,11-11-2024,Put,5650,1.3,1.45
11-11-2024,11-19-2024,11-06-2024,Put,5655,1.3,1.45
11-11-2024,11-19-2024,11-08-2024,Put,5660,1.35,1.5
11-11-2024,11-19-2024,11-11-2024,Put,5665,1.35,1.55
11-11-2024,11-19-2024,11-08-2024,Put,5670,1.4,1.55
11-11-2024,11-19-2024,11-11-2024,Put,5675,1.45,1.6
11-11-2024,11-19-2024,11-08-2024,Put,5680,1.45,1.65
11-11-2024,11-19-2024,11-07-2024,Put,5685,1.5,1.7
11-11-2024,11-19-2024,11-08-2024,Put,5690,1.55,1.75
11-11-2024,11-19-2024,11-07-2024,Put,5695,1.6,1.8
11-11-2024,11-19-2024,11-11-2024,Put,5700,1.7,1.8
11-11-2024,11-19-2024,11-07-2024,Put,5705,1.7,1.9
11-11-2024,11-19-2024,11-11-2024,Put,5710,1.75,1.95
11-11-2024,11-19-2024,11-11-2024,Put,5715,1.8,2
11-11-2024,11-19-2024,11-11-2024,Put,5720,1.85,2.05
11-11-2024,11-19-2024,11-07-2024,Put,5725,1.95,2.1
11-11-2024,11-19-2024,11-08-2024,Put,5730,2,2.2
11-11-2024,11-19-2024,11-07-2024,Put,5735,2.05,2.25
11-11-2024,11-19-2024,11-07-2024,Put,5740,2.15,2.3
11-11-2024,11-19-2024,11-11-2024,Put,5745,2.2,2.4
11-11-2024,11-19-2024,11-11-2024,Put,5750,2.35,2.5
11-11-2024,11-19-2024,11-08-2024,Put,5755,2.4,2.6
11-11-2024,11-19-2024,11-11-2024,Put,5760,2.5,2.7
11-11-2024,11-19-2024,11-11-2024,Put,5765,2.55,2.8
11-11-2024,11-19-2024,11-11-2024,Put,5770,2.7,2.9
11-11-2024,11-19-2024,11-11-2024,Put,5775,2.85,3
11-11-2024,11-19-2024,11-11-2024,Put,5780,2.95,3.2
11-11-2024,11-19-2024,11-11-2024,Put,5785,3,3.3
11-11-2024,11-19-2024,11-11-2024,Put,5790,3.2,3.4
11-11-2024,11-19-2024,11-11-2024,Put,5795,3.3,3.6
11-11-2024,11-19-2024,11-11-2024,Put,5800,3.5,3.8
11-11-2024,11-19-2024,11-08-2024,Put,5805,3.6,3.9
11-11-2024,11-19-2024,11-08-2024,Put,5810,3.9,4.1
11-11-2024,11-19-2024,11-11-2024,Put,5815,4,4.3
11-11-2024,11-19-2024,11-11-2024,Put,5820,4.3,4.5
11-11-2024,11-19-2024,11-11-2024,Put,5825,4.5,4.8
11-11-2024,11-19-2024,11-11-2024,Put,5830,4.6,5
11-11-2024,11-19-2024,11-11-2024,Put,5835,4.9,5.2
11-11-2024,11-19-2024,11-11-2024,Put,5840,5.3,5.5
11-11-2024,11-19-2024,11-11-2024,Put,5845,5.5,5.9
11-11-2024,11-19-2024,11-11-2024,Put,5850,5.9,6.2
